Galaxy Name,m-M,err,distance,Method,REFCODE,Notes,RA,Dec,GLON,GLAT,Type (RC3),velocity
,(mag),(mag),(Mpc),,,,(J2000),(J2000),,,,(km/s)
UGC 12914,33.57,0.2,51.8,Sosies,2002A&A...393...57T,,0:01:38,#N/A,108.4,-38,RS.R6*P,4545
WLM,25.1,0.15,1.05,Cepheids,1991PASP..103..933M,I,0:01:58,-15:27:39,75.9,-73.6,IBS9,-61
NGC 7814,30.44,0.14,12.2,SBF,2003ApJ...583..712J,I,0:03:15,#REF!,106.4,-45.2,SAS2*/,1204
ESO 349- G 031,27.53,...,3.21,TRGB,2006AJ....131.1361K,,0:08:13,-34:34:42,351.5,-78.1,IB.9,195
ESO 349 -G 031,28.06,...,4.1,Tully-Fisher,2003A&A...404...93K,,0:08:13,-34:34:42,351.5,-78.1,IB.9,195
2dFGRS S839Z607,37.297*,0.04,271,SNIa,2006ApJ...647..501P,"SN 1992au, z = 0.06100:",0:10:38,-49:56:52,319.1,-65.9,E1,17665
NGC 0048,33.92,0.2,60.8,Sosies,2002A&A...393...57T,,0:14:02,#REF!,116.5,-14.2,SX.4P*,1972
NGC 0045,30.13,0.35,10.6,Sosies,2002A&A...393...57T,,0:14:04,-23:10:56,55.9,-80.7,SAS8,493
UGC 00139,33.45*,0.05,48.4,SNIa,2006ApJ...647..501P,"SN 1998dk, z = 0.01322",0:14:32,-0:44:15,102.9,-62.2,SXS5?,4052
NGC 0055,26.5,...,2,TRGB,2005ApJ...622..279D,,0:14:54,-39:11:48,332.9,-75.7,SBS9*/,94
NGC 0059,28.21,0.07,4.39,SBF,1998AJ....116.2873J,,0:15:25,-21:26:40,65.7,-80,LAT-*,412
ESO 410- G 005,26.4,0.15,1.9,TRGB,2000ApJ...542..128K,,0:15:32,-32:10:47,357.8,-80.7,DE.3.*,-
NGC 0063,31.36,0.33,18.7,SBF,2001ApJ...546..681T,I,0:17:46,#REF!,109.9,-50.6,S...P,1303
MCG -01-02-001,33.35*,0.12,46.2,SNIa,2006ApJ...647..501P,"SN 1999cw, z = 0.0113",0:20:02,-6:20:04,101.8,-67.9,SBS2P?,3792
IC 0010,24.1,0.19,0.66,Cepheids,1999ApJ...511..671S,VIJHK,0:20:17,#REF!,119,-3.3,IB.9,-146
MCG +01-02-004,35.3,...,115,SNII opt,1996ApJ...466..911E,SN 1990ae,0:22:50,#REF!,110.4,-55.4,Sbc,7576
"Sculptor-dE1, [CFC97] Sc 22",28.12,...,4.21,TRGB,2003A&A...404...93K,,0:23:52,-24:42:18,52.7,-83.3,dE,-
NGC 0105,33.86*,0.06,58.2,SNIa,2006ApJ...647..501P,"SN 1997cw, z = 0.01765",0:25:17,#REF!,113.1,-49.5,Sab:,5133
Cetus Dwarf,24.39,0.07,0.76,TRGB,2005MNRAS.356..979M,,0:26:11,-11:02:40,101.5,-72.9,dSph,-
ESO 294- G 010,26.42,0.1,1.92,TRGB,2002A&A...389..812K,,0:26:33,-41:51:19,320.4,-74.4,DE.5P*,72
UGC 00288,29.14,0.39,6.73,BS,1997AstL...23..656G,,0:29:04,#REF!,118.6,-19.3,S?,374
NGC 0147,24.15,0.09,0.675,TRGB,2005MNRAS.356..979M,,0:33:12,#REF!,119.8,-14.3,E.5.P,28
NGC 0150,31.51,...,20,SNII opt,1996ApJ...466..911E,SN 1990K,0:34:16,-27:48:13,21.9,-86.1,SBT3*,1581
NGC 0157,32.32,0.19,29.1,Sosies,2002A&A...393...57T,,0:34:47,-8:23:47,110.3,-70.9,SXT4,1734
And III,24.37,0.07,0.748,TRGB,2005MNRAS.356..979M,,0:35:34,#REF!,119.4,-26.3,E?,-177
[P96] J003618.17+112334.7,35.82*,0.19,141,SNIa,2006ApJ...645..488W,"SN 1996bl, z = 0.036",0:36:18,#REF!,117,-51.3,SBc,10719
NGC 0185,23.95,0.09,0.616,TRGB,2005MNRAS.356..979M,,0:38:58,#REF!,120.8,-14.5,E.3.P,-64
"M110, NGC 0205",24.58,0.07,0.824,TRGB,2005MNRAS.356..979M,,0:40:22,#REF!,120.7,-21.1,E.5.P,-60
And IV,29,0.5,6.3,TRGB,2000AJ....120..821F,,0:42:32,#REF!,121.1,-22.3,dw Irr,-196
"M32, NGC 0221",24.45,...,0.78,TRGB,1996AJ....112.1975G,,0:42:42,#REF!,121.1,-22,CE.2,-28
"M31, NGC 0224",24.3,0.03,0.724,Cepheids,1997ApJ...491...13K,"30, BVRI",0:42:44,#REF!,121.2,-21.6,SAS3,-121
"IC 1574, DDO 226",28.46,0.26,4.92,TRGB,2003A&A...404...93K,,0:43:04,-22:14:49,101.2,-84.8,IBS9,391
And I,24.33,0.07,0.735,TRGB,2004MNRAS.350..243M,,0:45:40,#REF!,121.7,-24.8,E.3.P$,-197
NGC 0247,27.81,...,3.65,TRGB,2006AJ....131.1361K,,0:47:09,-20:45:37,113.9,-83.6,SXS7,176
NGC 0253,27.59,0.06,3.3,TRGB,2005ApJ...633..810M,,0:47:33,-25:17:18,97.4,-88,SXS5,251
NGC 0252,34.15*,0.24,66.5,SNIa,2006ApJ...645..488W,"SN 1998de, z = 0.01665",0:48:02,#REF!,122,-35.2,RLAR+*,5176
"ESO 540- G 030, KDG 002",27.66,0.22,3.4,TRGB,2003A&A...404...93K,,0:49:21,-18:04:32,119.8,-80.9,IABm,-
DDO 006,27.62,0.16,3.34,TRGB,2003A&A...404...93K,,0:49:49,-21:00:54,119.4,-83.9,IBS9*,315
ESO 540- G 032,27.67,...,3.42,TRGB,2003A&A...404...93K,,0:50:24,-19:54:24,121,-82.8,IXS9P*,-
NGC 0274,31.45,0.47,19.5,SBF,2001ApJ...546..681T,I,0:51:02,-7:03:25,122.6,-69.9,LXR-P,1811
NGC 0289,32.19,0.5,27.4,Sosies,2002A&A...393...57T,,0:52:42,-31:12:21,299.1,-85.9,SBT4,1611
"SMC, NGC 0292",18.7,0.18,0.055,Cepheids,1999ASPC..167..320S,"1, V-R (BW)",0:52:44,#REF!,302.8,-44.3,SBS9P,34
And IX,24.42,0.07,0.766,TRGB,2005MNRAS.356..979M,,0:52:53,#REF!,123.2,-19.7,dE,-40
NGC 0300,26.36,0.29,1.87,Cepheids,2002A&A...389...19P,MW HIPP,0:54:54,-37:41:04,299.2,-79.4,SAS7,98
IC 1601,35.45,0.16,123,Sosies,2002A&A...393...57T,,0:55:35,-24:09:12,140.6,-86.9,S?,3642
UGC 00607,36.417*,0.044,185,SNIa,2006ApJ...647..501P,"SN 1999ef, z = 0.03914",0:58:45,#REF!,125.7,-50.1,S..6?,11753
Sculptor Dwarf Elliptical,19.8,...,0.091,TRGB,2000glg..book.....V,,1:00:09,-33:42:33,287.5,-83.2,E?,115
UGC 00646,33.979*,0.112,61.4,SNIa,2006ApJ...647..501P,"SN 1998ef, z = 0.01774",1:03:26,#REF!,125.9,-30.6,SB?,5474
LGS 3,24.08,0.3,0.655,TRGB,2001ApJ...562..713M,,1:03:55,#REF!,126.8,-40.9,I?,-149
"IC 1613, DDO 008",24.06,0.15,0.65,Cepheids,2001ApJ...553...47F,"KP +Z, 9, VI",1:04:48,#REF!,129.7,-60.6,IBS9,-152
UGC 00685,28.4,0.14,4.79,TRGB,2002AJ....123.1307M,,1:07:22,#REF!,128.4,-46,SA.9,271
NGC 0382,33.96*,0.22,60.9,SNIa,2006ApJ...645..488W,"SN 2000dk, z = 0.01744",1:07:24,#REF!,126.8,-30.3,E...*,5369
kkh 005,28.15,...,4.26,TRGB,2003A&A...398..479K,,1:07:33,#REF!,125.5,-11.4,Ir?,239
NGC 0404,27.43,0.25,3.06,TRGB,2002A&A...389..812K,,1:09:27,#REF!,127,-27,LAS-*,111
And V,24.44,0.08,0.773,TRGB,2005MNRAS.356..979M,,1:10:17,#REF!,126.2,-15.1,dSph,-227
MCG -01-04-008,34.67,0.07,85.9,Sosies,2002A&A...393...57T,,1:10:54,-5:49:18,136.1,-68.2,SAS5*,5808
NGC 0448,32.41,0.35,30.3,SBF,2001ApJ...546..681T,I,1:15:17,-1:37:34,136.6,-63.9,L..-./,1978
NGC 0452,34.24,0.14,70.5,Sosies,2002A&A...393...57T,,1:16:15,#REF!,129.2,-31.5,SB.2,5109
And II,24.05,0.06,0.646,TRGB,2004MNRAS.350..243M,,1:16:30,#REF!,128.9,-29.2,E?,-40
NGC 0470,33.52,0.17,50.6,Sosies,2002A&A...393...57T,,1:19:45,#REF!,136.6,-58.7,SAT3,2449
ESO 352- G 057,34.33,0.15,73.5,SBF,2001ApJ...559..584A,I,1:22:02,-34:11:48,261.9,-80.3,LBS0P,5566
NGC 0494,34.17,0.06,68.2,Sosies,2002A&A...393...57T,,1:22:55,#REF!,130.5,-29.2,S..2,5604
NGC 0495,34.197*,0.043,68.2,SNIa,2006ApJ...647..501P,"SN 1999ej, z = 0.01372",1:22:56,#REF!,130.4,-28.9,PSBS0P*,4260
MCG +01-04-044,33.27,0.14,45.1,SNIa,2005ApJ...624..532R,SN 1998dm,1:23:20,#REF!,136.5,-54.2,Sm,2783
NGC 0514,32.68,0.6,34.4,Sosies,2002A&A...393...57T,,1:24:04,#REF!,135.1,-49.2,SXT5,2568
NGC 0524,31.8,...,22.9,PNLF,2004AAS...205.6906J,,1:24:48,#REF!,136.5,-52.5,LAT+,2509
MCG -01-04-039,36.28,...,180,SNII opt,1996ApJ...466..911E,SN 1992am,1:25:04,-4:38:59,144,-66.1,S,14014
NGC 0523,33.7,0.11,55,Sosies,2002A&A...393...57T,,1:25:21,#REF!,130.9,-28.3,P,4911
NGC 0536,33.96,0.12,61.9,Sosies,2002A&A...393...57T,,1:26:22,#REF!,131,-27.6,SBR3,5338
IC 0126,34.29*,0.23,70.8,SNIa,2004ApJ...607..665R,"SN 1993ae, z = 0.01905",1:29:48,-1:59:02,144.6,-63.2,S?,5755
NGC 0578,31.34,...,18.5,Tully-Fisher,2003astro.ph.10284R,I,1:30:29,-22:40:03,188.3,-80.1,SXT5,1616
NGC 0584,31.52,0.2,20.1,SBF,2001ApJ...546..681T,I,1:31:21,-6:52:05,149.8,-67.6,E.4,1899
UGC 01087,33.79*,0.25,56.4,SNIa,2006ApJ...645..488W,"SN 1999dk, z = 0.01496",1:31:27,#REF!,137.3,-47.5,SAT5,4580
UGC 01104,29.39,0.4,7.55,BS,1996A&AS..119..499S,,1:32:43,#REF!,136.5,-43.5,I..9,775
NGC 0596,31.69,0.1,21.8,SBF,2001ApJ...546..681T,I,1:32:52,-7:01:55,150.9,-67.6,E+..P*,1923
"M33, NGC 0598",23.83,0.35,0.583,Cepheids,2004ASPC..310...95B,"1, V",1:33:51,#REF!,133.6,-31.3,SAS6,-46
kkh 006,27.86,...,3.73,TRGB,2006AJ....131.1361K,,1:34:52,#REF!,129.7,-10.2,Ir,223
NGC 0625,27.95,0.07,3.89,TRGB,2003AJ....126.2806C,,1:35:05,-41:26:10,273.7,-73.1,SBS9$/,312
"M74, NGC 0628",29.32,0.4,7.31,BS,1996A&AS..119..499S,,1:36:42,#REF!,138.6,-45.7,SAS5,753
NGC 0632,32.885*,0.016,37.4,SNIa,2006ApJ...647..501P,"SN 1998es, z = 0.01057",1:37:18,#REF!,143.2,-55.2,L?,3238
NGC 0636,32.36,0.16,29.6,SBF,2001MNRAS.327.1004B,,1:39:07,-7:30:45,155.1,-67.4,E.3,1875
UGC 01171,29.34,0.4,7.38,BS,1996A&AS..119..499S,,1:39:45,#REF!,139.6,-45.4,I..9*,762
DDO 013,29.78,0.4,9.04,BS,1996A&AS..119..499S,,1:40:10,#REF!,139.7,-45.4,I..9,727
UGCA 020,30.2,0.4,11,BS,1996A&AS..119..499S,,1:43:15,#REF!,139.2,-41.3,I..9,603
KDG 010,29.48,0.4,7.87,BS,1996A&AS..119..499S,,1:43:37,#REF!,140.9,-45.3,Dwarf,880
NGC 0661,32.43,0.25,30.6,SBF,2001MNRAS.327.1004B,,1:44:15,#REF!,136.7,-32.7,E+..*,3969
ESO 245- G 005,28.23,0.23,4.43,TRGB,2003A&A...404...93K,,1:45:04,-43:35:53,273.1,-70.3,IBS9,310
[MH93] 014355.4-562057,37.819*,0.158,337,SNIa,2006ApJ...647..501P,"SN 1992br, z = 0.088",1:45:45,-56:05:52,288,-59.4,E0,25108
IC 1727,29.29,...,7.2,BS,2004AJ....127.2031K,,1:47:30,#REF!,138,-33.9,SBS9,458
NGC 0672,29.29,...,7.2,BS,2004AJ....127.2031K,,1:47:55,#REF!,138,-33.8,SBS6,541
NGC 0673,33.82*,0.27,57.1,SNIa,2004ApJ...607..665R,"SN 1996bo, z = 0.01728",1:48:22,#REF!,144.5,-49,SXS5,5261
NGC 0681,33.3,0.12,45.7,Sosies,2002A&A...393...57T,,1:49:11,-10:25:35,164.8,-68.5,SXS2./,1769
UGC 01281,28.68,0.2,5.45,BS,1998A&AS..133..181M,,1:49:32,#REF!,136.9,-28.7,S..8,287
NGC 0680,32.87,0.41,37.5,SBF,2001MNRAS.327.1004B,,1:49:47,#REF!,140.4,-38.9,E+..P*,2914
NGC 0701,31.64,0.16,21.3,Sosies,2002A&A...393...57T,,1:51:04,-9:42:09,164.7,-67.6,SBT5,1847
"ESO 245- G 007, Phoenix Dwarf",22.77,0.1,0.358,TRGB,1999AJ....117.2199C,,1:51:06,-44:26:41,272.2,-68.9,IA.9,-34
"NGC 0708, Abell 262",34.14,0.25,67.3,GCLF,1998ApJ...499..577L,,1:52:47,#REF!,136.6,-25.1,E,4948
NGC 0720,31.35,0.35,18.6,GCLF,1996A&A...308..704K,,1:53:01,-13:44:19,173,-70.4,E.5,1715
[KK98] 016,28.38,...,4.74,TRGB,2003A&A...398..479K,,1:55:20,#REF!,139.7,-32.8,Irr,322
NGC 0748,34.42,0.21,76.6,Sosies,2002A&A...393...57T,,1:56:22,-4:28:04,160.1,-62.6,PSAR3?,5348
ESO 297- G 036,34.95,0.23,97.7,Tully-Fisher,2005Ap&SS.299..387R,"B, TD-Tully-Fisher",1:57:59,-38:01:10,255.1,-72.3,S..5*,11040
NGC 0779,31.52,0.2,20.1,Sosies,2002A&A...393...57T,,1:59:42,-5:57:48,163.5,-63.3,SXR3,1411
[KK98] 017,28.37,...,4.72,TRGB,2003A&A...398..479K,,2:00:10,#REF!,140.6,-31.7,Irr,272
NGC 0784,28.47,...,4.9,BS,2000A&AS..142..425D,,2:01:17,#REF!,140.9,-31.6,SB.8*/,313
ESO 052- G 020,33.63,...,53.2,Tully-Fisher,2004ApJ...607..241R,B,2:05:43,-71:06:56,294.6,-44.8,SBS4P,7974
